time;lat;lon;elevation;accuracy;bearing;speed
2015-08-28T16:14:23Z;50.536959;30.356054;160.000000;3.000000;8.100000;7.590000
2015-08-28T16:14:34Z;50.537886;30.355026;160.000000;4.000000;318.600006;13.560000
2015-08-28T16:14:45Z;50.539114;30.353374;160.000000;3.000000;318.600006;16.570000
2015-08-28T16:14:56Z;50.540088;30.352123;162.000000;3.000000;327.100006;5.320000
2015-08-28T16:15:07Z;50.540532;30.352798;168.000000;4.000000;52.599998;6.560000
2015-08-28T16:15:18Z;50.541020;30.353692;166.000000;5.000000;50.099998;3.730000
2015-08-28T16:15:29Z;50.541568;30.353145;169.000000;4.000000;320.000000;11.270000
2015-08-28T16:15:40Z;50.542651;30.351703;164.000000;5.000000;317.399994;15.750000
2015-08-28T16:15:51Z;50.543943;30.349877;164.000000;4.000000;319.299988;18.430000
2015-08-28T16:16:02Z;50.545243;30.348149;162.000000;4.000000;320.899994;16.190001
2015-08-28T16:16:13Z;50.546081;30.347102;161.000000;4.000000;320.899994;4.580000
2015-08-28T16:16:24Z;50.546619;30.346428;161.000000;4.000000;318.299988;6.630000
2015-08-28T16:16:35Z;50.547093;30.345732;160.000000;5.000000;319.100006;7.300000
2015-08-28T16:16:46Z;50.547575;30.345111;160.000000;4.000000;319.600006;5.880000
2015-08-28T16:16:57Z;50.548334;30.344101;161.000000;4.000000;323.100006;11.450000
2015-08-28T16:17:08Z;50.549416;30.342640;162.000000;4.000000;319.299988;15.010000
2015-08-28T16:17:19Z;50.550607;30.341020;151.000000;9.000000;319.399994;16.000000
2015-08-28T16:17:30Z;50.551613;30.339710;148.000000;9.000000;321.799988;9.650000
2015-08-28T16:17:41Z;50.552615;30.338372;148.000000;9.000000;319.799988;15.160000
2015-08-28T16:17:52Z;50.553607;30.337039;150.000000;9.000000;322.799988;6.590000
2015-08-28T16:18:03Z;50.553294;30.336104;153.000000;10.000000;233.100006;9.650000
2015-08-28T16:18:14Z;50.552808;30.335252;149.000000;9.000000;227.300003;4.630000
2015-08-28T16:18:25Z;50.552383;30.334382;144.000000;9.000000;231.000000;9.910000
2015-08-28T16:18:36Z;50.552015;30.333381;147.000000;9.000000;291.399994;4.470000
2015-08-28T16:18:47Z;50.552821;30.332421;144.000000;3.000000;323.000000;11.980000
2015-08-28T16:18:58Z;50.553939;30.331157;143.000000;4.000000;323.000000;14.350000
2015-08-28T16:19:09Z;50.555165;30.329952;138.000000;3.000000;332.600006;14.950000
2015-08-28T16:19:20Z;50.556472;30.328875;135.000000;3.000000;334.600006;14.330000
2015-08-28T16:19:31Z;50.557822;30.328743;138.000000;3.000000;6.300000;14.190000
2015-08-28T16:19:42Z;50.558882;30.328823;142.000000;3.000000;353.799988;10.130000
2015-08-28T16:19:53Z;50.559735;30.328121;141.000000;3.000000;320.299988;9.910000
